,movie_id,title,kafka_id
0,2.0,Ariel,ariel+1988
1,3.0,Shadows in Paradise,shadows+in+paradise+1986
2,11.0,Star Wars,star+wars+1977
3,12.0,Finding Nemo,finding+nemo+2003
4,13.0,Forrest Gump,forrest+gump+1994
5,14.0,American Beauty,american+beauty+1999
6,15.0,Citizen Kane,citizen+kane+1941
7,18.0,The Fifth Element,the+fifth+element+1997
8,20.0,My Life Without Me,my+life+without+me+2003
9,21.0,The Endless Summer,the+endless+summer+1966
10,22.0,Pirates of the Caribbean: The Curse of the Black Pearl,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003
11,24.0,Kill Bill: Vol. 1,kill+bill+vol.+1+2003
12,28.0,Apocalypse Now,apocalypse+now+1979
13,38.0,Eternal Sunshine of the Spotless Mind,eternal+sunshine+of+the+spotless+mind+2004
14,58.0,Pirates of the Caribbean: Dead Man's Chest,pirates+of+the+caribbean+dead+mans+chest+2006
15,62.0,2001: A Space Odyssey,2001+a+space+odyssey+1968
16,64.0,Talk to Her,talk+to+her+2002
17,66.0,Absolute Power,absolute+power+1997
18,68.0,Brazil,brazil+1985
19,69.0,Walk the Line,walk+the+line+2005
20,70.0,Million Dollar Baby,million+dollar+baby+2004
21,71.0,Billy Elliot,billy+elliot+2000
22,73.0,American History X,american+history+x+1998
23,76.0,Before Sunrise,before+sunrise+1995
24,77.0,Memento,memento+2000
25,78.0,Blade Runner,blade+runner+1982
26,79.0,Hero,hero+2002
27,81.0,Nausicaä of the Valley of the Wind,nausica+of+the+valley+of+the+wind+1984
28,85.0,Raiders of the Lost Ark,raiders+of+the+lost+ark+1981
29,87.0,Indiana Jones and the Temple of Doom,indiana+jones+and+the+temple+of+doom+1984
30,88.0,Dirty Dancing,dirty+dancing+1987
31,89.0,Indiana Jones and the Last Crusade,indiana+jones+and+the+last+crusade+1989
32,91.0,Land Without Bread,land+without+bread+1933
33,93.0,Anatomy of a Murder,anatomy+of+a+murder+1959
34,98.0,Gladiator,gladiator+2000
35,101.0,Leon: The Professional,leon+the+professional+1994
36,102.0,Open Hearts,open+hearts+2002
37,104.0,Run Lola Run,run+lola+run+1998
38,105.0,Back to the Future,back+to+the+future+1985
39,106.0,Predator,predator+1987
40,107.0,Snatch,snatch+2000
41,109.0,Three Colors: White,three+colors+white+1994
42,110.0,Three Colors: Red,three+colors+red+1994
43,111.0,Scarface,scarface+1983
